Series Name,Series Code,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CO2 emissions (kt),EN.ATM.CO2E.KT,Burundi,BDI,..,..,44.004,47.671,47.671,36.67,47.671,47.671,55.005,73.34,62.339,73.34,73.34,73.34,91.675,77.007,88.008,99.009,102.676,110.01,146.68,157.681,157.681,205.352,220.02,231.021,234.688,249.356,227.354,267.691,209.019,238.355,216.353,227.354,234.688,238.355,242.022,249.356,249.356,253.023,271.358,205.352,212.686,161.348,198.018,154.014,187.017,187.017,190.684,190.684,212.686,242.022,282.359,289.693,440.04,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cabo Verde,CPV,22.002,22.002,18.335,14.668,29.336,25.669,22.002,18.335,29.336,36.67,36.67,36.67,51.338,62.339,66.006,77.007,73.34,80.674,209.019,249.356,121.011,33.003,36.67,36.67,84.341,84.341,58.672,80.674,73.34,80.674,95.342,99.009,106.343,110.01,113.677,121.011,143.013,146.68,157.681,183.35,216.353,234.688,275.025,308.028,330.03,440.04,473.043,506.046,469.376,524.381,557.384,616.056,506.046,498.712,491.378,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cambodia,KHM,234.688,286.026,308.028,388.702,341.031,403.37,469.376,418.038,491.378,1345.789,1173.44,249.356,117.344,128.345,73.34,73.34,73.34,73.34,51.338,29.336,286.026,300.694,337.364,366.7,410.704,418.038,432.706,436.373,451.041,451.041,1261.448,1305.452,1349.456,1386.126,1477.801,1551.141,1617.147,1540.14,1950.844,1895.839,1976.513,2251.538,2207.534,2379.883,2445.889,2775.919,2999.606,3465.315,3898.021,4653.423,5012.789,5207.14,5456.496,5603.176,6684.941,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cameroon,CMR,271.358,282.359,289.693,300.694,337.364,311.695,344.698,458.375,506.046,572.052,638.058,810.407,861.745,898.415,975.422,1162.439,1092.766,1565.809,2002.182,1829.833,3905.355,5342.819,6343.91,6589.599,6057.884,6475.922,1994.848,1844.501,2200.2,7634.694,1734.491,1103.767,3788.011,3898.021,3817.347,4228.051,4462.739,3215.959,3208.625,3080.28,3432.312,3421.311,3417.644,3795.345,3956.693,3696.336,3861.351,5834.197,5544.504,6725.278,6780.283,5768.191,6127.557,6772.949,7003.97,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Canada,CAN,192895.201,194182.318,207185.5,211109.19,237801.283,252153.921,259319.239,281896.958,303539.592,307400.943,341485.708,352607.719,381136.979,381621.023,389970.782,397143.434,399317.965,408151.768,415896.472,442067.851,443233.957,430003.421,414811.04,408687.15,425595.687,422079.034,405053.153,431349.21,456053.789,463274.112,435181.225,426780.128,440978.752,445580.837,456849.528,467637.842,479419.913,495294.356,506533.711,515389.516,534380.909,527926.989,519335.208,553100.944,552198.862,557417.003,543819.767,554355.058,561028.998,536764.459,534670.602,537112.824,517457.704,517160.677,537193.498,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cayman Islands,CYM,11.001,11.001,11.001,11.001,11.001,11.001,18.335,14.668,22.002,44.004,36.67,44.004,55.005,58.672,55.005,55.005,66.006,69.673,91.675,91.675,161.348,154.014,161.348,168.682,183.35,190.684,201.685,216.353,223.687,256.69,249.356,271.358,311.695,330.03,363.033,363.033,385.035,407.037,429.039,429.039,465.709,469.376,487.711,495.045,462.042,473.043,484.044,572.052,583.053,557.384,557.384,586.72,535.382,535.382,542.716,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Central African Republic,CAF,88.008,88.008,73.34,73.34,73.34,88.008,84.341,91.675,183.35,187.017,209.019,183.35,168.682,161.348,113.677,102.676,128.345,128.345,146.68,102.676,106.343,135.679,143.013,146.68,150.347,161.348,161.348,260.357,231.021,249.356,198.018,205.352,216.353,223.687,234.688,234.688,234.688,245.689,249.356,264.024,267.691,245.689,245.689,234.688,234.688,234.688,249.356,253.023,253.023,253.023,264.024,278.692,293.36,297.027,300.694,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Chad,TCD,55.005,51.338,84.341,91.675,99.009,106.343,84.341,117.344,124.678,161.348,124.678,150.347,121.011,161.348,150.347,183.35,183.35,198.018,194.351,201.685,209.019,209.019,205.352,205.352,216.353,179.683,187.017,198.018,66.006,102.676,143.013,66.006,84.341,91.675,102.676,110.01,124.678,143.013,150.347,161.348,176.016,172.349,168.682,381.368,377.701,399.703,407.037,462.042,509.713,491.378,517.047,539.049,612.389,700.397,729.733,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,13490.893,14473.649,16725.187,17355.911,17524.593,17766.615,18793.375,19259.084,21224.596,22555.717,24664.242,27095.463,28191.896,27652.847,25955.026,23014.092,24103.191,23109.434,22948.086,24862.26,25265.63,24554.232,20615.874,20839.561,22200.018,21503.288,22247.689,22673.061,26926.781,32386.944,33314.695,31323.514,32474.952,34627.481,38103.797,41745.128,48499.742,56394.793,57641.573,61502.924,58815.013,53340.182,55162.681,55602.721,59775.767,61818.286,64814.225,71638.512,71851.198,66805.406,72250.901,79243.87,80974.694,83226.232,82562.505,..,..,..,..,..
